lambda,Psi,Delta,n_S,k_S
551,59.789725746986306,89.56780961677224,4.0987,0.0278
552,59.51874339808169,89.83628374884483,4.0953,0.0276
553,59.25149442850323,90.09896456951336,4.092,0.0273
554,58.97003105793574,90.35006174209732,4.0887,0.027
555,58.70868350672927,90.59845252772368,4.0854,0.0267
556,58.449772167050305,90.84325597732986,4.0821,0.0265
557,58.19379101911795,91.08041913002677,4.0789,0.0262
558,57.925548931485565,91.30833484180907,4.0757,0.026
559,57.67592833010485,91.5354908578838,4.0725,0.0257
560,57.428578147526416,91.75632342580245,4.0693,0.0255
561,57.18468997351461,91.97292890764658,4.0662,0.0252
562,56.928224866463424,92.17998588400577,4.0631,0.025
563,56.68953437377355,92.38723424423063,4.06,0.0247
564,56.45389856379525,92.58941789915767,4.057,0.0245
565,56.22070154635457,92.78730465145755,4.054,0.0243
566,55.976085446061646,92.97529443105805,4.051,0.024
567,55.747846998190916,93.164872190621,4.048,0.0238
568,55.52254059569206,93.34992402342684,4.0451,0.0236
569,55.286215839496066,93.52528624754515,4.0421,0.0234
570,55.06625777361555,93.70218046699375,4.0392,0.0231
571,54.84856132301896,93.8754511290114,4.0363,0.0229
572,54.63309873013701,94.04518568906899,4.0335,0.0227
573,54.407919038090256,94.20617261617726,4.0307,0.0225
574,54.19698160589652,94.36905327492977,4.0278,0.0223
575,53.98932206244609,94.52771327916979,4.0251,0.0221
576,53.78321416620847,94.6836584704188,4.0223,0.0219
577,53.579968113038504,94.8372168391724,4.0195,0.0217
578,53.36656476584618,94.98039870490105,4.0168,0.0215
579,53.16733292273801,95.1267594203849,4.0141,0.0213
580,52.970855157488764,95.27097311359955,4.0114,0.0211
581,52.776151234821214,95.41121536407866,4.0088,0.0209
582,52.5726712174778,95.54318805454784,4.0061,0.0207
583,52.38195893132182,95.67796319362276,4.0035,0.0205
584,52.19386299694739,95.8108675659098,4.0009,0.0203
585,52.00745120301326,95.94007254494801,3.9983,0.0201
586,51.812638351973476,96.0611747925496,3.9958,0.02
587,51.63053622933966,96.18505583072393,3.9932,0.0198
588,51.45037450975441,96.30765019856783,3.9907,0.0196
589,51.271810355727155,96.42678458461673,3.9882,0.0194
590,51.08519572910311,96.53796512048685,3.9857,0.0193
591,50.91071935059879,96.65223031595863,3.9832,0.0191
592,50.73806358264271,96.76538415481642,3.9808,0.0189
593,50.56745291397377,96.87501533321694,3.9783,0.0187
594,50.3986041379892,96.98362368240609,3.9759,0.0186
595,50.221320414503175,97.08255935799126,3.9735,0.0184
596,50.05575958977117,97.1870512881272,3.9712,0.0183
597,49.89215763886286,97.28824454922405,3.9688,0.0181
598,49.730206164832474,97.38855934284747,3.9665,0.0179
599,49.56016276609914,97.47932210873876,3.9641,0.0178
600,49.40182536120827,97.57562237863576,3.9618,0.0176
